## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bams/SRR12638324.sorted.bam --OUTPUT bams/SRR12638324.sorted.markdup.bam --METRICS_FILE stats/SRR12638324.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 20:02:03 EST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1358	715465	2929	346878	1327	459764	0	0.642926	276492

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	152934	152934
2.0	1.075196	41149	41149
3.0	1.08085	19102	19102
4.0	1.081275	10930	10930
5.0	1.081307	6912	6912
6.0	1.08131	4810	4810
7.0	1.08131	3407	3407
8.0	1.08131	2632	2632
9.0	1.08131	2004	2004
10.0	1.08131	1572	1572
11.0	1.08131	1249	1249
12.0	1.08131	1083	1083
13.0	1.08131	918	918
14.0	1.08131	729	729
15.0	1.08131	623	623
16.0	1.08131	545	545
17.0	1.08131	496	496
18.0	1.08131	404	404
19.0	1.08131	347	347
20.0	1.08131	285	285
21.0	1.08131	303	303
22.0	1.08131	258	258
23.0	1.08131	226	226
24.0	1.08131	202	202
25.0	1.08131	185	185
26.0	1.08131	154	154
27.0	1.08131	158	158
28.0	1.08131	138	138
29.0	1.08131	114	114
30.0	1.08131	104	104
31.0	1.08131	120	120
32.0	1.08131	93	93
33.0	1.08131	98	98
34.0	1.08131	66	66
35.0	1.08131	74	74
36.0	1.08131	62	62
37.0	1.08131	58	58
38.0	1.08131	59	59
39.0	1.08131	63	63
40.0	1.08131	59	59
41.0	1.08131	40	40
42.0	1.08131	40	40
43.0	1.08131	44	44
44.0	1.08131	38	38
45.0	1.08131	49	49
46.0	1.08131	31	31
47.0	1.08131	32	32
48.0	1.08131	40	40
49.0	1.08131	21	21
50.0	1.08131	30	30
51.0	1.08131	23	23
52.0	1.08131	28	28
53.0	1.08131	20	20
54.0	1.08131	28	28
55.0	1.08131	18	18
56.0	1.08131	26	26
57.0	1.08131	15	15
58.0	1.08131	12	12
59.0	1.08131	17	17
60.0	1.08131	18	18
61.0	1.08131	11	11
62.0	1.08131	13	13
63.0	1.08131	13	13
64.0	1.08131	12	12
65.0	1.08131	13	13
66.0	1.08131	9	9
67.0	1.08131	16	16
68.0	1.08131	4	4
69.0	1.08131	17	17
70.0	1.08131	4	4
71.0	1.08131	6	6
72.0	1.08131	5	5
73.0	1.08131	6	6
74.0	1.08131	8	8
75.0	1.08131	0	0
76.0	1.08131	6	6
77.0	1.08131	12	12
78.0	1.08131	5	5
79.0	1.08131	7	7
80.0	1.08131	10	10
81.0	1.08131	3	3
82.0	1.08131	4	4
83.0	1.08131	5	5
84.0	1.08131	7	7
85.0	1.08131	7	7
86.0	1.08131	6	6
87.0	1.08131	4	4
88.0	1.08131	2	2
89.0	1.08131	3	3
90.0	1.08131	5	5
91.0	1.08131	9	9
92.0	1.08131	5	5
93.0	1.08131	3	3
94.0	1.08131	4	4
95.0	1.08131	2	2
96.0	1.08131	3	3
97.0	1.08131	6	6
98.0	1.08131	4	4
99.0	1.08131	6	6
100.0	1.08131	3	3
101.0	0	4	4
103.0	0	3	3
104.0	0	3	3
105.0	0	2	2
106.0	0	2	2
107.0	0	4	4
108.0	0	2	2
110.0	0	3	3
111.0	0	1	1
113.0	0	1	1
114.0	0	3	3
115.0	0	3	3
116.0	0	4	4
117.0	0	1	1
118.0	0	1	1
121.0	0	2	2
122.0	0	2	2
123.0	0	2	2
124.0	0	2	2
125.0	0	1	1
126.0	0	3	3
127.0	0	3	3
128.0	0	2	2
129.0	0	5	5
132.0	0	1	1
133.0	0	2	2
134.0	0	2	2
135.0	0	1	1
136.0	0	1	1
137.0	0	1	1
138.0	0	1	1
140.0	0	1	1
141.0	0	1	1
142.0	0	2	2
145.0	0	3	3
147.0	0	1	1
148.0	0	1	1
149.0	0	4	4
150.0	0	3	3
153.0	0	1	1
155.0	0	1	1
159.0	0	2	2
161.0	0	2	2
162.0	0	1	1
163.0	0	1	1
164.0	0	1	1
165.0	0	1	1
166.0	0	1	1
169.0	0	1	1
170.0	0	1	1
171.0	0	1	1
174.0	0	1	1
178.0	0	1	1
179.0	0	1	1
182.0	0	1	1
183.0	0	1	1
185.0	0	1	1
186.0	0	1	1
187.0	0	1	1
188.0	0	2	2
189.0	0	1	1
192.0	0	1	1
197.0	0	1	1
204.0	0	1	1
207.0	0	1	1
210.0	0	1	1
218.0	0	1	1
226.0	0	1	1
231.0	0	1	1
232.0	0	1	1
234.0	0	1	1
236.0	0	2	2
240.0	0	1	1
242.0	0	1	1
247.0	0	1	1
255.0	0	1	1
263.0	0	1	1
270.0	0	1	1
278.0	0	1	1
284.0	0	1	1
304.0	0	1	1
305.0	0	1	1
311.0	0	1	1
331.0	0	1	1
333.0	0	1	1
372.0	0	1	1
387.0	0	2	2
446.0	0	1	1

