## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bams/SRR12638326.sorted.bam --OUTPUT bams/SRR12638326.sorted.markdup.bam --METRICS_FILE stats/SRR12638326.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 19:34:15 EST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	819	426543	1344	17299	804	193042	0	0.453081	314559

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	160570	160570
2.0	1.257687	36894	36894
3.0	1.32409	14700	14700
4.0	1.341202	7424	7424
5.0	1.345611	4222	4222
6.0	1.346748	2674	2674
7.0	1.34704	1704	1704
8.0	1.347116	1228	1228
9.0	1.347135	863	863
10.0	1.34714	631	631
11.0	1.347142	468	468
12.0	1.347142	382	382
13.0	1.347142	286	286
14.0	1.347142	228	228
15.0	1.347142	174	174
16.0	1.347142	155	155
17.0	1.347142	121	121
18.0	1.347142	94	94
19.0	1.347142	86	86
20.0	1.347142	73	73
21.0	1.347142	65	65
22.0	1.347142	36	36
23.0	1.347142	37	37
24.0	1.347142	31	31
25.0	1.347142	35	35
26.0	1.347142	31	31
27.0	1.347142	24	24
28.0	1.347142	31	31
29.0	1.347142	23	23
30.0	1.347142	14	14
31.0	1.347142	23	23
32.0	1.347142	15	15
33.0	1.347142	11	11
34.0	1.347142	15	15
35.0	1.347142	8	8
36.0	1.347142	10	10
37.0	1.347142	6	6
38.0	1.347142	5	5
39.0	1.347142	6	6
40.0	1.347142	5	5
41.0	1.347142	4	4
42.0	1.347142	9	9
43.0	1.347142	4	4
44.0	1.347142	4	4
45.0	1.347142	4	4
46.0	1.347142	0	0
47.0	1.347142	4	4
48.0	1.347142	2	2
49.0	1.347142	1	1
50.0	1.347142	2	2
51.0	1.347142	2	2
52.0	1.347142	2	2
53.0	1.347142	8	8
54.0	1.347142	3	3
55.0	1.347142	2	2
56.0	1.347142	1	1
57.0	1.347142	1	1
58.0	1.347142	8	8
59.0	1.347142	2	2
60.0	1.347142	2	2
61.0	1.347142	2	2
62.0	1.347142	5	5
63.0	1.347142	2	2
64.0	1.347142	1	1
65.0	1.347142	2	2
66.0	1.347142	0	0
67.0	1.347142	2	2
68.0	1.347142	0	0
69.0	1.347142	2	2
70.0	1.347142	0	0
71.0	1.347142	1	1
72.0	1.347142	1	1
73.0	1.347142	0	0
74.0	1.347142	2	2
75.0	1.347142	1	1
76.0	1.347142	0	0
77.0	1.347142	0	0
78.0	1.347142	0	0
79.0	1.347142	0	0
80.0	1.347142	0	0
81.0	1.347142	0	0
82.0	1.347142	1	1
83.0	1.347142	0	0
84.0	1.347142	0	0
85.0	1.347142	1	1
86.0	1.347142	1	1
87.0	1.347142	0	0
88.0	1.347142	0	0
89.0	1.347142	1	1
90.0	1.347142	0	0
91.0	1.347142	0	0
92.0	1.347142	0	0
93.0	1.347142	0	0
94.0	1.347142	0	0
95.0	1.347142	1	1
96.0	1.347142	1	1
97.0	1.347142	0	0
98.0	1.347142	0	0
99.0	1.347142	0	0
100.0	1.347142	1	1

