## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bams/SRR12638329.sorted.bam --OUTPUT bams/SRR12638329.sorted.markdup.bam --METRICS_FILE stats/SRR12638329.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 19:34:14 EST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	773	306529	2993	67607	755	135292	0	0.442042	235005

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999998	120030	120030
2.0	1.271347	26201	26201
3.0	1.344976	10227	10227
4.0	1.364956	5102	5102
5.0	1.370377	2895	2895
6.0	1.371848	1816	1816
7.0	1.372248	1195	1195
8.0	1.372356	806	806
9.0	1.372385	653	653
10.0	1.372393	416	416
11.0	1.372395	336	336
12.0	1.372396	289	289
13.0	1.372396	198	198
14.0	1.372396	163	163
15.0	1.372396	137	137
16.0	1.372396	109	109
17.0	1.372396	100	100
18.0	1.372396	94	94
19.0	1.372396	65	65
20.0	1.372396	49	49
21.0	1.372396	44	44
22.0	1.372396	42	42
23.0	1.372396	29	29
24.0	1.372396	30	30
25.0	1.372396	18	18
26.0	1.372396	14	14
27.0	1.372396	11	11
28.0	1.372396	14	14
29.0	1.372396	13	13
30.0	1.372396	9	9
31.0	1.372396	13	13
32.0	1.372396	13	13
33.0	1.372396	5	5
34.0	1.372396	10	10
35.0	1.372396	6	6
36.0	1.372396	8	8
37.0	1.372396	3	3
38.0	1.372396	3	3
39.0	1.372396	5	5
40.0	1.372396	6	6
41.0	1.372396	3	3
42.0	1.372396	2	2
43.0	1.372396	3	3
44.0	1.372396	1	1
45.0	1.372396	4	4
46.0	1.372396	5	5
47.0	1.372396	4	4
48.0	1.372396	3	3
49.0	1.372396	1	1
50.0	1.372396	1	1
51.0	1.372396	3	3
52.0	1.372396	0	0
53.0	1.372396	1	1
54.0	1.372396	1	1
55.0	1.372396	1	1
56.0	1.372396	3	3
57.0	1.372396	2	2
58.0	1.372396	1	1
59.0	1.372396	3	3
60.0	1.372396	0	0
61.0	1.372396	0	0
62.0	1.372396	0	0
63.0	1.372396	0	0
64.0	1.372396	0	0
65.0	1.372396	1	1
66.0	1.372396	0	0
67.0	1.372396	1	1
68.0	1.372396	2	2
69.0	1.372396	0	0
70.0	1.372396	1	1
71.0	1.372396	1	1
72.0	1.372396	1	1
73.0	1.372396	0	0
74.0	1.372396	1	1
75.0	1.372396	0	0
76.0	1.372396	1	1
77.0	1.372396	1	1
78.0	1.372396	2	2
79.0	1.372396	0	0
80.0	1.372396	1	1
81.0	1.372396	0	0
82.0	1.372396	0	0
83.0	1.372396	1	1
84.0	1.372396	0	0
85.0	1.372396	0	0
86.0	1.372396	0	0
87.0	1.372396	0	0
88.0	1.372396	0	0
89.0	1.372396	0	0
90.0	1.372396	0	0
91.0	1.372396	0	0
92.0	1.372396	1	1
93.0	1.372396	0	0
94.0	1.372396	0	0
95.0	1.372396	0	0
96.0	1.372396	0	0
97.0	1.372396	0	0
98.0	1.372396	0	0
99.0	1.372396	1	1
100.0	1.372396	0	0
105.0	0	1	1
118.0	0	1	1

