## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bams/SRR12638353.sorted.bam --OUTPUT bams/SRR12638353.sorted.markdup.bam --METRICS_FILE stats/SRR12638353.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 20:11:01 EST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	374	166089	709	488756	354	64370	0	0.388192	154325

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	75024	75024
2.0	1.340877	14460	14460
3.0	1.457076	5397	5397
4.0	1.496685	2513	2513
5.0	1.510187	1332	1332
6.0	1.51479	845	845
7.0	1.516358	520	520
8.0	1.516893	377	377
9.0	1.517076	254	254
10.0	1.517138	213	213
11.0	1.517159	165	165
12.0	1.517166	116	116
13.0	1.517169	94	94
14.0	1.517169	64	64
15.0	1.51717	48	48
16.0	1.51717	47	47
17.0	1.51717	31	31
18.0	1.51717	28	28
19.0	1.51717	27	27
20.0	1.51717	21	21
21.0	1.51717	17	17
22.0	1.51717	11	11
23.0	1.51717	15	15
24.0	1.51717	14	14
25.0	1.51717	7	7
26.0	1.51717	5	5
27.0	1.51717	8	8
28.0	1.51717	9	9
29.0	1.51717	7	7
30.0	1.51717	4	4
31.0	1.51717	3	3
32.0	1.51717	5	5
33.0	1.51717	3	3
34.0	1.51717	3	3
35.0	1.51717	5	5
36.0	1.51717	1	1
37.0	1.51717	1	1
38.0	1.51717	0	0
39.0	1.51717	2	2
40.0	1.51717	2	2
41.0	1.51717	0	0
42.0	1.51717	1	1
43.0	1.51717	1	1
44.0	1.51717	1	1
45.0	1.51717	2	2
46.0	1.51717	0	0
47.0	1.51717	1	1
48.0	1.51717	1	1
49.0	1.51717	3	3
50.0	1.51717	1	1
51.0	1.51717	2	2
52.0	1.51717	0	0
53.0	1.51717	0	0
54.0	1.51717	1	1
55.0	1.51717	1	1
56.0	1.51717	1	1
57.0	1.51717	1	1
58.0	1.51717	0	0
59.0	1.51717	0	0
60.0	1.51717	0	0
61.0	1.51717	0	0
62.0	1.51717	0	0
63.0	1.51717	0	0
64.0	1.51717	1	1
65.0	1.51717	2	2
66.0	1.51717	0	0
67.0	1.51717	0	0
68.0	1.51717	0	0
69.0	1.51717	0	0
70.0	1.51717	0	0
71.0	1.51717	0	0
72.0	1.51717	0	0
73.0	1.51717	0	0
74.0	1.51717	1	1
75.0	1.51717	0	0
76.0	1.51717	0	0
77.0	1.51717	0	0
78.0	1.51717	0	0
79.0	1.51717	0	0
80.0	1.51717	0	0
81.0	1.51717	0	0
82.0	1.51717	0	0
83.0	1.51717	0	0
84.0	1.51717	0	0
85.0	1.51717	0	0
86.0	1.51717	0	0
87.0	1.51717	0	0
88.0	1.51717	0	0
89.0	1.51717	0	0
90.0	1.51717	0	0
91.0	1.51717	0	0
92.0	1.51717	0	0
93.0	1.51717	0	0
94.0	1.51717	0	0
95.0	1.51717	0	0
96.0	1.51717	0	0
97.0	1.51717	0	0
98.0	1.51717	0	0
99.0	1.51717	0	0
100.0	1.51717	0	0

